,NCBI_IDs,NCBI_taxa,,,Symbol,Size,Color,Fill,Position,Label
94,1989,Actinomadura_sp.,Actinomadura_sp.|1989,Actinomadura_sp.|1989,Circle,10,#FF000,NA,1,NA
95,1990,Actinomadura_atramentaria,Actinomadura_atramentaria|1990,Actinomadura_atramentaria|1990,NA,NA,NA,NA,NA,NA
96,2015,Nocardiopsis_prasina,Nocardiopsis_prasina|2015,Nocardiopsis_prasina|2015,NA,NA,NA,NA,NA,NA
97,2033,Microbacterium_testaceum,Microbacterium_testaceum|2033,Microbacterium_testaceum|2033,NA,NA,NA,NA,NA,NA
98,2052,Mobiluncus_mulieris,Mobiluncus_mulieris|2052,Mobiluncus_mulieris|2052,Circle,10,#FF000,NA,1,NA
99,2160,Methanobacterium,Methanobacterium|2160,Methanobacterium|2160,NA,NA,NA,NA,NA,NA
100,2742,Marinobacter,Marinobacter|2742,Marinobacter|2742,Circle,10,#FF000,NA,1,NA
101,2746,Halomonas_elongata,Halomonas_elongata|2746,Halomonas_elongata|2746,NA,NA,NA,NA,NA,NA
102,3037,Euglena_longa,Euglena_longa|3037,Euglena_longa|3037,NA,NA,NA,NA,NA,NA
103,3040,Euglena_viridis,Euglena_viridis|3040,Euglena_viridis|3040,NA,NA,NA,NA,NA,NA
104,4896,Schizosaccharomyces_pombe,Schizosaccharomyces_pombe|4896,Schizosaccharomyces_pombe|4896,NA,NA,NA,NA,NA,NA
105,4932,Saccharomyces_cerevisiae,Saccharomyces_cerevisiae|4932,Saccharomyces_cerevisiae|4932,NA,NA,NA,NA,NA,NA
106,5046,Sarocladium_strictum,Sarocladium_strictum|5046,Sarocladium_strictum|5046,NA,NA,NA,NA,NA,NA
107,5051,Acremonium_persicinum,Acremonium_persicinum|5051,Acremonium_persicinum|5051,NA,NA,NA,NA,NA,NA
108,5054,Aspergillus_amstelodami,Aspergillus_amstelodami|5054,Aspergillus_amstelodami|5054,NA,NA,NA,NA,NA,NA
109,5061,Aspergillus_niger,Aspergillus_niger|5061,Aspergillus_niger|5061,NA,NA,NA,NA,NA,NA
110,5065,Aspergillus_sp.,Aspergillus_sp.|5065,Aspergillus_sp.|5065,NA,NA,NA,NA,NA,NA
111,5067,Aspergillus_parasiticus,Aspergillus_parasiticus|5067,Aspergillus_parasiticus|5067,NA,NA,NA,NA,NA,NA
112,5074,Penicillium_brevicompactum,Penicillium_brevicompactum|5074,Penicillium_brevicompactum|5074,NA,NA,NA,NA,NA,NA
113,5076,Penicillium_chrysogenum,Penicillium_chrysogenum|5076,Penicillium_chrysogenum|5076,NA,NA,NA,NA,NA,NA
114,5077,Penicillium_citrinum,Penicillium_citrinum|5077,Penicillium_citrinum|5077,NA,NA,NA,NA,NA,NA
115,5079,Penicillium_janthinellum,Penicillium_janthinellum|5079,Penicillium_janthinellum|5079,NA,NA,NA,NA,NA,NA
116,5081,Penicillium_sp.,Penicillium_sp.|5081,Penicillium_sp.|5081,NA,NA,NA,NA,NA,NA
117,5095,Talaromyces_flavus,Talaromyces_flavus|5095,Talaromyces_flavus|5095,NA,NA,NA,NA,NA,NA
118,5322,Pleurotus_ostreatus,Pleurotus_ostreatus|5322,Pleurotus_ostreatus|5322,NA,NA,NA,NA,NA,NA
119,5323,Pleurotus_eryngii,Pleurotus_eryngii|5323,Pleurotus_eryngii|5323,Circle,10,#FF000,NA,1,NA
120,5325,Trametes_versicolor,Trametes_versicolor|5325,Trametes_versicolor|5325,NA,NA,NA,NA,NA,NA
121,5327,Trametes_hirsuta,Trametes_hirsuta|5327,Trametes_hirsuta|5327,NA,NA,NA,NA,NA,NA
122,5331,Bjerkandera_adusta,Bjerkandera_adusta|5331,Bjerkandera_adusta|5331,NA,NA,NA,NA,NA,NA
123,5334,Schizophyllum_commune,Schizophyllum_commune|5334,Schizophyllum_commune|5334,NA,NA,NA,NA,NA,NA
124,5341,Agaricus_bisporus,Agaricus_bisporus|5341,Agaricus_bisporus|5341,NA,NA,NA,NA,NA,NA
125,5391,Chroogomphus_vinicolor,Chroogomphus_vinicolor|5391,Chroogomphus_vinicolor|5391,NA,NA,NA,NA,NA,NA
126,5418,Papiliotrema_laurentii,Papiliotrema_laurentii|5418,Papiliotrema_laurentii|5418,NA,NA,NA,NA,NA,NA
127,5507,Fusarium_oxysporum,Fusarium_oxysporum|5507,Fusarium_oxysporum|5507,NA,NA,NA,NA,NA,NA
